k,security_bits,type,bitlen,time_us
16,16,EC,32,84.575294
16,16,EC,32,63.873412
16,16,EC,32,59.013059
16,16,EC,32,59.732118
16,16,EC,32,59.313824
16,16,EC,32,49.406176
16,16,EC,32,139.545176
16,16,EC,32,35.560471
16,16,EC,32,25.727529
16,16,EC,32,24.152471
16,16,EC,32,25.799824
16,16,EC,32,26.933529
16,16,EC,32,26.553412
16,16,EC,32,22.145294
16,16,EC,32,21.695529
16,16,EC,32,31.653235
16,16,EC,32,32.423882
16,16,EC,32,22.308941
16,16,EC,32,16.746059
16,16,EC,32,19.102765
16,16,EC,32,17.382294
16,16,EC,32,20.458765
16,16,EC,32,23.372294
16,16,EC,32,16.127529
16,16,EC,32,16.296706
16,16,EC,32,24.086706
16,16,EC,32,18.792882
16,16,EC,32,15.975588
16,16,EC,32,15.893294
16,16,EC,32,17.928176
16,16,EC,32,15.847588
16,16,EC,32,14.530000
16,16,EC,32,14.299824
16,16,EC,32,13.978235
16,16,EC,32,14.709000
16,16,EC,32,31.418235
16,16,EC,32,32.439471
16,16,EC,32,33.711529
16,16,EC,32,34.421294
16,16,EC,32,31.198647
16,16,EC,32,32.713647
16,16,EC,32,42.882294
16,16,EC,32,38.151000
16,16,EC,32,34.307118
16,16,EC,32,32.975882
16,16,EC,32,33.507000
16,16,EC,32,34.310882
16,16,EC,32,35.284647
16,16,EC,32,32.764000
16,16,EC,32,33.168941
16,16,EC,32,32.605824
16,16,EC,32,32.279647
16,16,EC,32,34.644000
16,16,EC,32,32.973412
16,16,EC,32,32.612706
16,16,EC,32,32.727765
16,16,EC,32,33.121118
16,16,EC,32,35.230588
16,16,EC,32,33.349529
16,16,EC,32,32.965588
16,16,EC,32,33.176941
16,16,EC,32,32.663000
16,16,EC,32,34.923353
16,16,EC,32,33.344353
16,16,EC,32,32.925471
16,16,EC,32,32.547000
16,16,EC,32,33.085824
16,16,EC,32,37.272941
16,16,EC,32,30.227294
16,16,EC,32,30.286000
16,16,EC,32,30.684059
16,16,EC,32,29.971529
16,16,EC,32,33.156294
16,16,EC,32,31.362176
16,16,EC,32,30.365000
16,16,EC,32,30.791176
16,16,EC,32,29.633118
16,16,EC,32,33.057941
16,16,EC,32,30.348412
16,16,EC,32,35.392706
16,16,EC,32,31.094353
16,16,EC,32,30.017471
16,16,EC,32,32.414294
16,16,EC,32,30.527235
16,16,EC,32,29.963647
16,16,EC,32,30.236529
16,16,EC,32,29.906941
16,16,EC,32,31.735353
16,16,EC,32,30.098294
16,16,EC,32,29.676765
16,16,EC,32,29.975235
16,16,EC,32,30.053176
16,16,EC,32,32.024882
16,16,EC,32,29.859235
16,16,EC,32,30.238294
16,16,EC,32,30.024529
16,16,EC,32,29.938706
16,16,EC,32,31.893588
16,16,EC,32,29.761941
16,16,EC,32,30.188059
16,16,EC,32,29.215118
16,16,EC,32,29.976294
16,16,EC,32,31.630353
16,16,EC,32,30.743059
16,16,EC,32,29.879412
16,16,EC,32,30.007706
16,16,EC,32,29.718588
16,16,EC,32,32.600294
16,16,EC,32,29.911882
16,16,EC,32,29.665529
16,16,EC,32,29.712882
16,16,EC,32,30.045176
16,16,EC,32,29.909118
16,16,EC,32,31.889118
16,16,EC,32,29.329176
16,16,EC,32,30.575353
16,16,EC,32,30.862000
16,16,EC,32,29.140647
16,16,EC,32,31.617294
16,16,EC,32,30.390882
16,16,EC,32,29.944765
16,16,EC,32,30.123294
16,16,EC,32,30.273706
16,16,EC,32,31.531529
16,16,EC,32,29.680353
16,16,EC,32,30.067706
16,16,EC,32,29.089118
16,16,EC,32,30.739529
16,16,EC,32,31.344176
16,16,EC,32,31.247000
16,16,EC,32,29.456765
16,16,EC,32,32.426176
16,16,EC,32,32.395941
16,16,EC,32,31.227882
16,16,EC,32,29.113941
16,16,EC,32,29.701529
16,16,EC,32,29.566824
16,16,EC,32,87.923588
16,16,EC,32,12.042941
16,16,EC,32,11.742882
16,16,EC,32,12.280412
16,16,EC,32,11.910765
16,16,EC,32,12.392706
16,16,EC,32,11.849529
16,16,EC,32,12.156294
16,16,EC,32,11.850000
16,16,EC,32,11.942588
16,16,EC,32,11.734000
16,16,EC,32,11.874765
16,16,EC,32,12.656824
16,16,EC,32,12.425882
16,16,EC,32,12.325529
16,16,EC,32,12.058353
16,16,EC,32,12.625353
16,16,EC,32,12.289118
16,16,EC,32,12.353647
16,16,EC,32,11.771059
16,16,EC,32,12.173529
16,16,EC,32,15.499471
16,16,EC,32,12.099824
16,16,EC,32,11.761471
16,16,EC,32,11.710941
16,16,EC,32,12.129765
16,16,EC,32,12.107706
16,16,EC,32,12.209824
16,16,EC,32,11.939471
16,16,EC,32,12.453235
16,16,EC,32,11.521529
16,16,EC,32,12.004588
16,16,EC,32,11.638294
16,16,EC,32,11.630647
16,16,EC,32,11.373765
16,16,EC,32,24.431647
16,16,EC,32,30.469294
16,16,EC,32,14.403000
16,16,EC,32,11.873941
16,16,EC,32,11.970471
16,16,EC,32,11.724235
16,16,EC,32,11.874471
16,16,EC,32,12.101588
16,16,EC,32,12.253059
16,16,EC,32,13.674235
16,16,EC,32,11.891412
16,16,EC,32,11.789529
16,16,EC,32,11.986235
16,16,EC,32,18.741706
16,16,EC,32,12.970765
16,16,EC,32,11.706059
16,16,EC,32,13.097941
16,16,EC,32,12.778471
16,16,EC,32,11.870294
16,16,EC,32,12.084176
16,16,EC,32,12.445235
16,16,EC,32,11.774882
16,16,EC,32,11.884882
16,16,EC,32,12.122294
16,16,EC,32,12.172294
16,16,EC,32,11.918824
16,16,EC,32,12.257765
16,16,EC,32,11.536824
16,16,EC,32,11.852765
16,16,EC,32,12.170765
16,16,EC,32,11.912176
16,16,EC,32,11.893529
16,16,EC,32,11.952882
16,16,EC,32,11.471529
16,16,EC,32,12.094412
16,16,EC,32,24.393647
16,16,EC,32,15.583176
16,16,EC,32,14.013706
16,16,EC,32,13.724294
16,16,EC,32,13.730588
16,16,EC,32,13.737588
16,16,EC,32,13.156765
16,16,EC,32,13.722059
16,16,EC,32,13.181176
16,16,EC,32,13.463941
16,16,EC,32,13.658706
16,16,EC,32,13.525706
16,16,EC,32,13.438235
16,16,EC,32,13.529000
16,16,EC,32,13.691765
16,16,EC,32,17.294471
16,16,EC,32,12.526529
16,16,EC,32,12.992176
16,16,EC,32,12.644765
16,16,EC,32,12.536294
16,16,EC,32,12.559176
16,16,EC,32,12.841941
16,16,EC,32,12.830412
16,16,EC,32,12.726294
16,16,EC,32,12.527118
16,16,EC,32,12.576882
16,16,EC,32,13.010412
16,16,EC,32,12.981588
16,16,EC,32,12.166118
16,16,EC,32,12.349000
16,16,EC,32,12.567471
16,16,EC,32,12.702706
16,16,EC,32,12.874471
16,16,EC,32,12.944529
16,16,EC,32,12.953118
16,16,EC,32,12.977353
16,16,EC,32,12.397706
16,16,EC,32,12.753706
16,16,EC,32,12.837647
16,16,EC,32,12.752235
16,16,EC,32,12.490294
16,16,EC,32,14.279294
16,16,EC,32,15.333353
16,16,EC,32,12.504588
16,16,EC,32,13.007529
16,16,EC,32,17.414059
16,16,EC,32,12.634235
16,16,EC,32,12.415765
16,16,EC,32,12.906882
16,16,EC,32,12.670412
16,16,EC,32,12.424294
16,16,EC,32,12.610353
16,16,EC,32,12.864353
16,16,EC,32,12.179471
16,16,EC,32,12.757647
16,16,EC,32,12.469529
16,16,EC,32,12.664412
16,16,EC,32,12.537235
16,16,EC,32,12.862471
16,16,EC,32,12.646059
16,16,EC,32,12.709176
16,16,EC,32,12.646235
16,16,EC,32,12.864882
16,16,EC,32,12.734471
16,16,EC,32,12.494588
16,16,EC,32,12.619765
16,16,EC,32,31.940235
16,16,EC,32,31.127059
16,16,EC,32,32.419294
16,16,EC,32,30.451471
16,16,EC,32,33.479471
16,16,EC,32,31.530706
16,16,EC,32,31.875353
16,16,EC,32,31.953941
16,16,EC,32,31.599471
16,16,EC,32,32.439059
16,16,EC,32,31.142471
16,16,EC,32,30.811882
16,16,EC,32,31.920000
16,16,EC,32,31.092529
16,16,EC,32,32.809706
16,16,EC,32,31.453824
16,16,EC,32,32.031529
16,16,EC,32,30.634176
16,16,EC,32,32.718706
16,16,EC,32,32.047882
16,16,EC,32,31.886118
16,16,EC,32,31.847412
16,16,EC,32,32.966706
16,16,EC,32,32.513882
16,16,EC,32,31.484294
16,16,EC,32,31.519588
16,16,EC,32,31.797353
16,16,EC,32,40.711353
16,16,EC,32,32.389118
16,16,EC,32,31.089471
16,16,EC,32,30.500294
16,16,EC,32,31.067118
16,16,EC,32,31.993294
16,16,EC,32,32.533294
16,16,EC,32,31.772941
16,16,EC,32,30.818647
16,16,EC,32,30.383412
16,16,EC,32,33.307765
16,16,EC,32,30.704353
16,16,EC,32,31.761882
16,16,EC,32,33.273882
16,16,EC,32,31.239118
16,16,EC,32,33.236294
16,16,EC,32,110.810235
16,16,EC,32,12.318647
16,16,EC,32,12.530824
16,16,EC,32,12.258353
16,16,EC,32,12.195588
16,16,EC,32,12.689235
16,16,EC,32,12.111941
16,16,EC,32,12.527647
16,16,EC,32,12.570588
16,16,EC,32,12.907235
16,16,EC,32,12.143471
16,16,EC,32,11.907529
16,16,EC,32,12.422353
16,16,EC,32,12.496235
16,16,EC,32,12.873471
16,16,EC,32,12.168235
16,16,EC,32,12.007412
16,16,EC,32,13.021294
16,16,EC,32,12.363706
16,16,EC,32,12.370235
16,16,EC,32,12.264000
16,16,EC,32,11.996412
16,16,EC,32,12.316471
16,16,EC,32,12.519529
16,16,EC,32,12.419882
16,16,EC,32,12.504882
16,16,EC,32,12.255353
16,16,EC,32,12.349059
16,16,EC,32,12.429941
16,16,EC,32,12.652471
16,16,EC,32,12.368706
16,16,EC,32,12.600882
16,16,EC,32,12.132882
16,16,EC,32,12.673235
16,16,EC,32,11.925176
16,16,EC,32,12.261824
16,16,EC,32,12.327882
16,16,EC,32,12.660176
16,16,EC,32,12.035176
16,16,EC,32,12.099412
16,16,EC,32,12.727000
16,16,EC,32,12.192294
16,16,EC,32,12.416824
16,16,EC,32,12.600529
16,16,EC,32,12.143941
16,16,EC,32,12.591294
16,16,EC,32,12.346176
16,16,EC,32,12.821353
16,16,EC,32,12.456059
16,16,EC,32,11.854412
16,16,EC,32,12.481588
16,16,EC,32,12.223412
16,16,EC,32,12.421647
16,16,EC,32,12.296588
16,16,EC,32,12.473059
16,16,EC,32,12.141882
16,16,EC,32,12.636235
16,16,EC,32,12.034824
16,16,EC,32,21.559882
16,16,EC,32,12.592529
16,16,EC,32,14.558235
16,16,EC,32,12.137706
16,16,EC,32,12.466824
16,16,EC,32,12.844882
16,16,EC,32,12.143294
16,16,EC,32,12.633353
16,16,EC,32,12.774647
16,16,EC,32,12.303412
16,16,EC,32,12.817765
16,16,EC,32,12.234118
16,16,EC,32,11.873471
16,16,EC,32,21.094294
16,16,EC,32,13.749824
16,16,EC,32,13.547294
16,16,EC,32,13.861059
16,16,EC,32,13.280235
16,16,EC,32,12.932647
16,16,EC,32,13.589588
16,16,EC,32,13.015118
16,16,EC,32,13.337118
16,16,EC,32,13.562059
16,16,EC,32,13.159294
16,16,EC,32,13.419471
16,16,EC,32,13.720765
16,16,EC,32,14.148294
16,16,EC,32,13.357176
16,16,EC,32,13.613471
16,16,EC,32,15.830118
16,16,EC,32,12.891235
16,16,EC,32,12.745765
16,16,EC,32,12.949941
16,16,EC,32,14.458000
16,16,EC,32,12.710882
16,16,EC,32,12.336529
16,16,EC,32,12.842765
16,16,EC,32,12.929412
16,16,EC,32,12.551529
16,16,EC,32,12.318118
16,16,EC,32,12.730529
16,16,EC,32,13.760588
16,16,EC,32,12.972471
16,16,EC,32,12.260941
16,16,EC,32,12.645529
16,16,EC,32,12.562647
16,16,EC,32,12.567294
16,16,EC,32,12.432059
16,16,EC,32,12.661353
16,16,EC,32,12.567176
16,16,EC,32,12.597235
16,16,EC,32,12.886529
16,16,EC,32,12.774412
